DEPARTAMENTO,fallecidos,no_habitantes,tasa_mortalidad
AMAZONAS,1258,426806,0.2947474965206675
ANCASH,6674,1180638,0.5652875817989934
APURIMAC,1510,430736,0.350562757698451
AREQUIPA,9680,1497438,0.6464374484953633
AYACUCHO,2121,668213,0.31741375878649475
CAJAMARCA,4135,1453711,0.2844444322152065
CALLAO,9982,1129854,0.8834769802116026
CUSCO,4794,1357075,0.35325976825157046
HUANCAVELICA,1161,365317,0.31780617929086247
HUANUCO,2700,760267,0.35513839217011917
ICA,8367,975182,0.8579936873322109
JUNIN,7020,1361467,0.5156202831210746
LA LIBERTAD,10196,2016771,0.5055606214091733
LAMBAYEQUE,8610,1310785,0.656858294838589
LIMA,88734,10628470,0.8348708704074997
LORETO,4174,1027559,0.406205385773469
MADRE DE DIOS,773,173811,0.4447359488179689
MOQUEGUA,1516,192740,0.7865518314828266
PASCO,1048,271904,0.3854301518182888
PIURA,11996,2047954,0.5857553441141744
PUNO,4174,1237997,0.33715752138333127
SAN MARTIN,3012,899648,0.3347976097318062
TACNA,1954,370974,0.5267215492190828
TUMBES,1566,251521,0.6226120284190982
UCAYALI,3091,589110,0.5246897862877901
PERU,200246,32625948,0.6137630085108945
