epi_year,epi_week,1,2,3
2021,6,105755,1,0
2021,7,92287,4,0
2021,8,123882,19,0
2021,9,35142,93044,0
2021,10,74236,80891,0
2021,11,133491,120498,0
2021,12,80275,38699,0
2021,13,25407,65417,0
2021,14,69399,101913,0
2021,15,56525,111395,0
2021,16,117949,29749,0
2021,17,278608,60094,0
2021,18,283547,51057,0
2021,19,394910,106779,0
2021,20,452380,174047,0
2021,21,563328,239365,0
2021,22,316680,209601,0
2021,23,515857,560825,0
2021,24,253304,618950,0
2021,25,344743,364838,0
2021,26,544901,447494,0
2021,27,1038354,258135,0
2021,28,962900,322031,0
2021,29,881222,484105,0
2021,30,426998,830158,0
2021,31,675063,931170,0
2021,32,488621,687158,0
2021,33,436029,595969,0
2021,34,632454,583498,0
2021,35,887851,554480,0
2021,36,1935313,396321,0
2021,37,1838463,538237,0
2021,38,845435,726539,0
2021,39,786898,1444448,0
2021,40,582697,1560272,0
2021,41,725984,891207,45176
2021,42,574475,708451,124576
2021,43,380255,467432,52464
