departamento,no_habitantes,vacunados,fallecidos,tasa_mortalidad,vac_porcentaje
AMAZONAS,426806,165057,1258,294.7474965206675,38.67260535231463
ANCASH,1180638,644423,6674,565.2875817989934,54.58260703111369
APURIMAC,430736,201423,1510,350.56275769845104,46.7625181085398
AREQUIPA,1497438,763523,9680,646.4374484953634,50.98862189953774
AYACUCHO,668213,243124,2121,317.4137587864947,36.38420683225259
CAJAMARCA,1453711,610599,4135,284.44443221520646,42.002777718542404
CALLAO,1129854,695497,9982,883.4769802116026,61.556360379305644
CUSCO,1357075,575067,4794,353.25976825157045,42.37547666857027
HUANCAVELICA,365317,149145,1161,317.8061792908624,40.82618657220989
HUANUCO,760267,265974,2700,355.1383921701192,34.98428841446492
ICA,975182,515352,8367,857.9936873322109,52.84675065782592
JUNIN,1361467,651236,7020,515.6202831210745,47.833403233423944
LA LIBERTAD,2016771,935166,10196,505.5606214091734,46.36946881921646
LAMBAYEQUE,1310785,597063,8610,656.858294838589,45.550032995495066
LIMA,10628470,6011436,88734,834.8708704074998,56.55974942771631
LORETO,1027559,272941,4174,406.205385773469,26.562075754287587
MADRE DE DIOS,173811,49748,773,444.7359488179689,28.62189389624362
MOQUEGUA,192740,116037,1516,786.5518314828266,60.2039016291377
PASCO,271904,129634,1048,385.43015181828883,47.676385783217604
PIURA,2047954,777954,11996,585.7553441141745,37.986888377375664
PUNO,1237997,345062,4174,337.1575213833313,27.872603891608783
SAN MARTIN,899648,374244,3012,334.79760973180623,41.59893647293163
TACNA,370974,211017,1954,526.7215492190827,56.881883905610636
TUMBES,251521,128651,1566,622.6120284190982,51.149208217206514
UCAYALI,589110,188548,3091,524.6897862877901,32.00556772079917
PERU,32625948,15617921,200246,613.7630085108945,47.86963125178769
